"","naics2","PWCOUNTY","PERWT.sum","cntyind","ainsemp","p_ainsemp","einsemp","p_einsemp","looking4work","p_looking4work","trantime","NPBOSS90","SEI","HWSEI","PRENT","PRESGL","UHRSWORK","WKSWORK1","p_burd"
"64",48,65,24059,"6548",19947,0.829086828213974,12919,0.536971611455173,118,0.0049046095016418,30.4405420009144,385.628704434931,25.6258780497943,2937.59054823559,346.507336132009,328.630990481732,41.6405918782992,49.4427449187414,0.19213499027375
"65",48,71,43578,"7148",35593,0.81676534030933,23342,0.535637248152738,415,0.00952315388498784,29.3403781724723,394.987493689476,26.4046537243563,2920.19977970536,345.489444214971,342.700032126302,43.3626830051861,47.7735095690486,0.217122366521497
"66",48,111,5543,"11148",4763,0.859281977268627,3379,0.609597690781165,NA,NA,22.426123038066,418.343496301642,30.2850441998918,3083.7140537615,369.823741656143,350.57586144687,41.0303084972037,49.6851885260689,0.231658614390038
"67",49,25,849,"2549",764,0.899882214369847,673,0.792697290930506,NA,NA,19.4051825677267,287.037691401649,17.020023557126,2559.26501766784,281.951707891637,245.474676089517,35.50765606596,37.0412249705536,0.289494955180866
"68",49,37,115731,"3749",97136,0.839325677649031,69225,0.598154340669311,1388,0.0119933293585988,26.2608635542767,347.485911294295,30.6628388245155,2989.20263369365,322.35172944155,300.574660203403,38.3303090788121,46.0095825664688,0.263275945299163
"69",49,59,25225,"5949",22293,0.883766105054509,16886,0.669415262636273,291,0.0115361744301288,23.118414271556,373.224420218038,33.4095540138751,3137.74917740337,332.703746283449,313.223825569871,36.9729633300297,46.1145292368682,0.253521513652583
"70",49,65,39301,"6549",34297,0.872674995547187,24376,0.620238670771736,191,0.0048599272283148,27.0560545533193,335.808452711127,30.2246762168902,2869.48100557238,318.69586015623,300.513549273555,36.6732653113152,45.1774255108012,0.204070555707116
"71",49,71,60417,"7149",53472,0.885048910074979,37225,0.616134531671549,1389,0.0229902179850042,26.4024032970853,289.52175712134,23.8924143866792,2611.93376036546,298.851962196071,278.149593657414,38.9588691924458,46.7818991343496,0.199666950784305
"72",49,111,4869,"11149",4190,0.860546313411378,3240,0.66543438077634,NA,NA,19.7870199219552,348.288354898336,29.152392688437,3026.14746354488,331.263914561512,308.422057917437,33.9644690901623,39.4181556787841,0.200207415565454
"73",51,25,35,"2551",35,1,35,1,NA,NA,5,808,68,4788,565,503,40,52,0.0293877551020408
"74",51,37,204598,"3751",195543,0.955742480376152,161042,0.787114243540993,2611,0.0127616105729284,16.9455224391245,662.412306083148,60.2849685725178,4736.68691287305,522.211668735765,469.722577933313,42.6942540982805,46.0105426250501,0.255761089380315
"75",51,59,28676,"5951",26707,0.931336309108662,22221,0.774898870135305,94,0.00327800251081043,17.3369716836379,671.174605942251,62.5027549170038,4711.20365462408,512.567861626447,477.465371739434,39.3039475519598,45.2838261961222,0.204277502132601
"76",51,65,13882,"6551",13439,0.96808817173318,11423,0.822864140613744,191,0.0137588243768909,12.7836046679153,656.906281515632,57.6192191326898,4555.35203861115,506.415141910388,451.707534937329,41.0949430917735,48.7091917591125,0.211762112110193
"77",51,71,8198,"7151",7240,0.883142229812149,5101,0.622224932910466,NA,NA,15.1246645523298,615.335569651134,57.1862649426689,4522.66967553062,480.752256647963,438.723957062698,38.6233227616492,47.2860453769212,0.18620998828486
"78",51,111,5873,"11151",5628,0.958283671036949,4533,0.771837221181679,NA,NA,10.0352460412055,654.580452920143,60.4270389919973,4754.21896815937,513.057040694705,463.595777285885,38.6660990975651,44.1145922016005,0.290880677156859
"79",52,25,1088,"2552",1088,1,967,0.888786764705882,NA,NA,10.703125,791.164522058824,69.0018382352941,4836.61121323529,529.019301470588,503.601102941176,39.8777573529412,49.546875,0.0754360357587579
"80",52,37,172051,"3752",166073,0.96525448849469,139022,0.808027852206613,1534,0.00891596096506268,17.5294244148537,683.556149048829,63.586907370489,4598.31275028916,513.710178958565,480.284206427164,41.3767720036501,49.9704796833497,0.229486691908696
"81",52,59,88559,"5952",86609,0.977980781174132,73525,0.830237468806107,628,0.00709131765263835,16.4438058243657,700.720209126119,63.6042525322102,4695.63312593864,518.023713004889,477.662947865265,41.7188992648968,50.1954854955453,0.200083575497891
"82",52,65,27535,"6552",26192,0.951225712729254,20987,0.762193571817687,NA,NA,14.258253132377,644.464826584347,62.2825494824768,4460.35721808607,491.059633194117,474.511603413837,41.5628109678591,50.603450154349,0.212197831011334
"83",52,71,26058,"7152",24417,0.937025097858623,19933,0.764947424975056,443,0.0170005372630286,15.1348913961164,649.489177987566,61.8393583544401,4472.45533041676,498.891280988564,473.583774656535,39.0637424207537,49.3078900913347,0.184567254313751
"84",52,111,15914,"11152",15702,0.986678396380545,13279,0.834422521050647,58,0.00364458966947342,8.29477189895689,694.942000754053,64.8014955385195,4717.15231871308,522.167211260525,489.556365464371,41.1156843031293,49.9450169661933,0.226499311736648
"85",53,25,704,"2553",704,1,457,0.649147727272727,NA,NA,34.4460227272727,500.409090909091,42.5198863636364,3956.52698863636,428.100852272727,393.846590909091,34.0539772727273,44.5440340909091,0.270373258511484
"86",53,37,98937,"3753",90720,0.916947148185209,58412,0.590395908507434,1369,0.0138370882480771,18.969667566229,579.754591305578,48.5500065698374,4131.05952272658,445.493667687518,409.908456896813,39.0302920040025,47.316342723147,0.26560350841601
"87",53,59,44319,"5953",42451,0.957851034545003,28736,0.648390081003633,2508,0.0565897244973939,17.1473183059185,601.712899659288,51.5487037162391,4208.44766353031,459.849116631693,419.698368645502,38.5438525237483,47.6582504117873,0.232255435558427
"88",53,65,16695,"6553",14924,0.893920335429769,9007,0.539502845163223,203,0.0121593291404612,20.4613357292603,605.66133572926,49.4048517520216,4178.99994010183,447.01233902366,413.542437855645,38.774483378257,45.9514824797844,0.254700723136384
"89",53,71,12985,"7153",11888,0.915517905275318,7468,0.575125144397382,400,0.0308047747400847,26.6780130920293,587.982595302272,47.8917982287254,4224.01016557566,446.553330766269,408.315979976896,36.734693877551,47.0505198305737,0.183182831498619
